(5, 9);(4, 6);199
(9, 1);(1, 1);199
(7, 6);(6, 9);199
(8, 9);(5, 1);201
(4, 4);(7, 12);201
(4, 7);(10, 7);202
(1, 2);(1, 11);203
(3, 13);(1, 6);203
(1, 12);(9, 9);203
(6, 5);(7, 2);203
(1, 7);(2, 9);205
(1, 8);(1, 13);206
(10, 8);(10, 13);207
(10, 4);(1, 3);207
(10, 6);(4, 8);207
(3, 5);(7, 8);207
(3, 9);(7, 2);208
(7, 11);(6, 5);208
(8, 1);(4, 11);208
(4, 3);(10, 11);210
(1, 4);(9, 5);210
(1, 10);(7, 7);211
(7, 4);(5, 13);211
(4, 10);(6, 1);211
(1, 11);(1, 2);213
(7, 6);(6, 9);215
(1, 1);(9, 1);218
(3, 13);(1, 6);219
(6, 13);(10, 12);219
(7, 10);(5, 9);221
(4, 6);(10, 3);221
(7, 3);(4, 12);222
(4, 7);(10, 7);223
(2, 9);(1, 7);223
(9, 13);(5, 5);227
(10, 8);(8, 9);228
(5, 1);(10, 13);228
(8, 1);(4, 11);229
(1, 13);(1, 8);230
(1, 4);(9, 5);230
(4, 8);(10, 6);230
(6, 9);(7, 6);231
(3, 5);(7, 8);232
(4, 2);(10, 2);233
(7, 11);(6, 5);234
(10, 4);(1, 3);235
(4, 6);(1, 1);236
(9, 1);(10, 3);236
(3, 1);(8, 13);237
(2, 5);(10, 10);237
(1, 12);(9, 9);239
(3, 9);(1, 6);239
(3, 13);(1, 11);239
(4, 10);(7, 2);239
(1, 2);(6, 1);239
(2, 1);(8, 5);240
(7, 12);(4, 4);241
(2, 13);(10, 1);243
(7, 7);(1, 10);244
(2, 9);(1, 7);245
(6, 13);(10, 12);246
(1, 2);(6, 1);247
(4, 3);(8, 9);248
(10, 11);(10, 8);248
(4, 7);(10, 7);249
(9, 1);(10, 3);250
(10, 6);(5, 13);251
(4, 8);(6, 9);251
(7, 4);(7, 6);251
(10, 13);(5, 1);252
(5, 9);(7, 10);253
(3, 5);(7, 8);254
(1, 13);(1, 8);255
(4, 12);(7, 3);256
(1, 11);(3, 13);256
(1, 4);(9, 5);257
(1, 1);(4, 6);259
