(7, 10);(9, 1);357
(4, 6);(10, 7);358
(2, 1);(2, 5);358
(1, 4);(8, 13);362
(1, 10);(6, 5);362
(2, 9);(9, 5);364
(10, 2);(7, 12);366
(6, 13);(10, 12);368
(7, 8);(1, 11);370
(4, 3);(10, 8);371
(4, 10);(8, 9);371
(1, 13);(4, 8);371
(5, 5);(10, 6);372
(3, 1);(10, 11);372
(1, 6);(6, 1);373
(2, 5);(7, 7);374
(9, 9);(10, 4);375
(7, 6);(10, 10);377
(3, 13);(4, 11);382
(5, 9);(1, 8);383
(6, 1);(4, 7);383
(10, 8);(9, 5);385
(7, 11);(1, 2);385
(9, 9);(1, 12);386
(6, 9);(7, 8);386
(2, 1);(4, 10);386
(1, 10);(4, 6);386
(9, 13);(8, 13);390
(1, 3);(8, 9);391
(1, 1);(5, 1);394
(9, 13);(4, 4);396
(4, 12);(7, 4);397
(7, 12);(5, 5);398
(7, 3);(9, 1);399
(1, 11);(10, 6);400
(3, 5);(4, 3);400
(1, 13);(10, 12);400
(10, 13);(1, 12);402
(10, 4);(7, 7);403
(6, 13);(9, 5);407
(6, 9);(7, 6);409
(5, 13);(10, 3);409
(10, 11);(1, 2);410
(7, 8);(3, 1);412
(10, 8);(1, 7);414
(2, 1);(5, 9);415
(5, 5);(10, 1);416
(9, 1);(4, 4);417
(2, 9);(7, 4);417
(7, 7);(10, 10);417
(10, 7);(1, 10);417
(1, 1);(9, 13);418
(7, 2);(4, 3);419
(4, 12);(8, 9);420
(10, 4);(8, 13);423
(7, 7);(6, 1);427
(1, 3);(7, 11);427
(10, 3);(4, 7);429
(1, 8);(1, 6);429
(10, 10);(5, 1);429
(9, 5);(4, 10);429
(1, 4);(4, 6);430
(3, 13);(7, 6);432
(9, 1);(10, 1);433
(6, 13);(8, 1);433
(10, 2);(2, 1);434
(9, 9);(2, 13);436
(7, 12);(7, 2);439
(7, 4);(5, 9);439
(10, 3);(1, 11);441
(4, 3);(3, 1);443
(4, 10);(1, 13);443
(6, 9);(4, 4);445
(8, 5);(4, 8);445
(5, 5);(7, 3);445
(1, 4);(10, 13);448
(4, 7);(7, 8);448
(5, 5);(10, 4);449
(10, 6);(8, 13);450
(4, 12);(2, 9);450
(1, 8);(1, 12);455
(7, 10);(10, 11);455
(9, 1);(7, 8);455
(1, 2);(1, 6);455
